abbreviation	title	shorttitle
SCI-	Science	Science
SCIA	Science Advances	Sci. Adv.
SCR	Scientific Reports	Sci. Rep.
SEF	Sustainable Energy \& Fuels	Sustainable Energy Fuels
SEIE	Solvent Extraction and Ion Exchange	Solvent Extr. Ion Exch.
SEMSC	Solar Energy Materials and Solar Cells	Sol. Energ. Mater. Sol. C.
SIA	Surface and Interface Analysis	Surf. Interface Anal.
SL	Synlett	Synlett
SM	Symmetry	Symmetry
SMALL	Small	Small
SPM	Separation and Purification Methods	Separ. Purif. Method.
SPR-OM-	Specialist Periodical Reports: Organometallic Chemistry	Spec. Period. Rep.: Organomet. Chem.
SPR-OM-	Organometallic Chemistry	Organomet. Chem.
SPT-	Separation and Purification Technology	Sep. Purif. Technol.
SR-	Sulfur Reports	Sulfur Rep.
SRIMOC	Synthesis and Reactivity in Inorganic and Metal-Organic	Synth. React. Inorg. Met.-Org. Chem.
SRIMONMC	Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry	Synth. React. Inorg. Met.-Org. Nano-Met. Chem.
SS	Science of Synthesis	Sci. Synth.
SSI-	Solid State Ionics	Solid State Ionics
SSS	Solid State Sciences	Solid State Sci.
SST	Separation Science and Technology	Separ. Sci. Technol.
STM	Science Translational Medicine	Sci. Transl. Med.
T	Tetrahedron	Tetrahedron
TA	Tetrahedron: Asymmetry	Tetrahedron: Asymmetry
TAL	Talanta	Talanta
TC	Topics in Catalysis	Top. Catal.
TCA-	Theoretical Chemistry Accounts	Theor. Chem. Acc.
TCC	Topics in Current Chemistry	Top. Curr. Chem.
THC	Topic in Heterocyclic Chemistry	Top. Heterocycl. Chem
TI-	Tribology International	Tribol. Int.
TFS	Transactions of the Faraday Society	Trans. Faraday Soc.
TL	Tetrahedron Letters	Tetrahedron Lett.
TMC	Transition Metal Chemistry	Transition Met. Chem.
TOMC	Topic in Organometallic Chemistry	Top. Organomet. Chem.
TRC	Trends in Chemistry	Trends Chem.
TSF	Thin Solid Films	Thin Solid Films
TXL	Toxicology Letters	Toxicol. Lett.
UW	Ultrapure Water	Ultrapure Water
WIRNN	Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology	Wiley Interdiscip. Rev.: Nanomed. Nanobiotechnol.
YJBM	Yale Journal of Biology and Medicine	Yale J. Biol. Med.
ZAAC	Zeitschrift fuer Anorganische und Allgemeine Chemie	Z. Anorg. Allg. Chem.
ZC	Zeitschrift fuer Chemie	Z. Chem.
ZN-B-CS	Zeitschrift fuer Naturforschung, B: A Journal of Chemical Sciences	Z. Naturforsch., B: J. Chem. Sci.
ZN-B-CS	Zietschrift fuer Naturforschung, B	Z. Naturforsch., B
ZOK	Zhurnal Obshchej Khimii	Zh. Obshch. Khim.
ZORK	Zhurnal Organicheskoi Khimii	Zh. Org. Khim.
ZPC	Zeitschrift fuer Physikalische Chemie	Z. Phys. Chem.
